station,lon,lat,disp,year,Amplitude,Peak_DoY,Min_DoY,Time_MintoPeak
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2017,20.13416388194225,3,137,134
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2018,18.238401859139728,31,157,126
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2019,22.47478157747915,254,134,120
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2022,14.319201445997559,10,108,98
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2023,18.857038543275365,296,165,131
TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,2024,22.91597165580676,44,0,44
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2010,12.414491670365868,305,86,219
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2011,18.104345754548714,350,171,179
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2012,19.21896073329622,322,162,160
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2013,9.750875296516831,232,80,152
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2014,12.079368494974947,262,154,108
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2015,12.501859363298076,325,172,153
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2016,16.25075525330364,251,123,128
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2017,12.480160728363952,3,135,132
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2018,12.284651367532009,29,167,138
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2019,18.33801427286912,335,130,205
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2020,9.174479489636743,0,140,140
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2021,12.53160228661842,334,126,208
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2022,9.781144522473557,276,162,114
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2023,13.080488357481906,250,172,78
HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,2024,9.290175230388137,306,183,123
PAMI,"29   -49.670967
Name: longitude, dtype: float64","29    62.011567
Name: latitude, dtype: float64",Vertical,2019,16.991015464407507,11,129,118
PAMI,"29   -49.670967
Name: longitude, dtype: float64","29    62.011567
Name: latitude, dtype: float64",Vertical,2020,11.63384479905239,356,169,187
